"","Kode Barang","Nama Barang","Merk","No Org","No Prod","Mobil","Harga Jual","Harga Beli","Stok","max stok","Total Penjualan"
"","00000085","AVUR BAK MANDI STEEL 1","","","","","8000","0","12","","60"
"","00000086","AVUR BAK MANDI STEEL 3/4","","","","","6000","0","35","","37"
"","00000087","AVUR BAK PUTIH","","","","","40000","0","4","","29"
"","00000088","AVUR BCP ROYAL ECER","","","","","NaN","0","0","",""
"","00000089","AVUR BCP ROYAL PTH PAKET","","","","","NaN","0","0","",""
"","00000090","AVUR LANTAI ALINCO","","","","","NaN","0","0","",""
"","00000091","AVUR LANTAI BEST BIRU","","","","","3500","0","0","","16"
"","00000092","AVUR LANTAI BEST HIJAU","","","","","NaN","0","0","",""
"","00000093","AVUR LANTAI BEST PUTIH","","","","","3500","0","0","","12"
"","00000094","AVUR LANTAI CAB","","","","","11000","0","0","","12"
"","00000095","AVUR LANTAI CHIEMIE","","","","","NaN","0","0","",""
"","00000096","AVUR LANTAI CROM","","","","","25000","0","4","","25"
"","00000097","AVUR LANTAI DILAU 4"" STEEL","","","","","NaN","0","0","",""
"","00000098","AVUR LANTAI EFOS CHROME","","","","","NaN","0","0","",""
"","00000099","AVUR LANTAI ELFA","","","","","NaN","0","0","",""
"","00000100","AVUR LANTAI HORSE PTH","","","","","NaN","0","0","",""
"","00000101","AVUR LANTAI IMUNDEX","","","","","NaN","0","0","",""
"","00000102","AVUR LANTAI KOTAK ABU2","","","","","NaN","0","0","",""
"","00000103","AVUR LANTAI MANGKOK BIRU","","","","","NaN","0","0","",""
"","00000104","AVUR LANTAI MANGKOK CROM","","","","","NaN","0","0","",""
"","00000105","AVUR LANTAI NAGA","","","","","NaN","0","0","",""
"","00000106","AVUR LANTAI NIKKEN STEEL","","","","","NaN","0","0","",""
"","00000107","AVUR LANTAI PLASTIK TIPIS","","","","","NaN","0","0","",""
"","00000108","AVUR LANTAI SS FINN","","","","","NaN","0","0","",""
"","00000109","AVUR WASTAFEL 1 1/2","","","","","NaN","0","0","",""
"","00000110","AVUR WASTAFEL 1 1/4","","","","","NaN","0","0","",""
"","00000111","BAK CAT KOTAK","","","","","16000","0","9","","451"
"","00000112","BAK CAT MIRING","","","","","10000","0","75","","405"
"","00000113","BAK FIBER BIRU KOTAK","","","","","NaN","0","0","",""
"","00000114","BAK FIBER BIRU OVAL","","","","","NaN","0","0","",""
"","00000115","BAK FIBER CREAM MUDA KOTAK","","","","","NaN","0","0","",""
"","00000116","BAK FIBER CREAM OVAL","","","","","NaN","0","0","",""
"","00000117","BAK FIBER CREAM TUA KOTAK","","","","","NaN","0","0","",""
"","00000118","BAK FIBER CREAM TUA OVAL","","","","","NaN","0","0","",""
"","00000119","BAK FIBER HIJAU KOTAK","","","","","NaN","0","0","",""
"","00000120","BAK FIBER IJO OVAL","","","","","NaN","0","0","",""
"","00000121","BAK FIBER PINK KOTAK","","","","","NaN","0","0","",""
"","00000122","BAK FIBER PINK OVAL","","","","","NaN","0","0","",""
"","00000123","BAK FIBER PUTIH KOTAK","","","","","NaN","0","0","",""
"","00000124","BAK FIBER PUTIH OVAL","","","","","NaN","0","0","",""
"","00000125","BAK TERASO","","","","","NaN","0","0","",""
"","00000126","BALAK JALAN SUI 20 WATT","","","","","NaN","0","0","",""
"","00000127","BALAK MASKO 40 W KOSONGAN","","","","","NaN","0","0","",""
"","00000128","BALAK PHILIP SIMBAT 20 WATT","","","","","NaN","0","0","",""
"","00000129","BALAK RA KOMPLIT 10WATT","","","","","NaN","0","0","",""
"","00000130","BALAK RA KOMPLIT 20 WATT TP TL","","","","","NaN","0","0","",""
"","00000131","BALAK RA KOMPLIT 40WT TP TL","","","","","NaN","0","0","",""
"","00000132","BALAK SONARA 15 W KOSONGAN","","","","","NaN","0","0","",""
"","00000133","BALAK SUI 10 W KOSONGAN","","","","","NaN","0","0","",""
"","00000134","BALAK SUI 20 WATT KOSONGAN","","","","","NaN","0","0","",""
"","00000135","BALAK SUI 40 W KOSONGAN","","","","","NaN","0","0","",""
"","00000136","BAN DALAM GEROBAK","","","","","NaN","0","1","",""
"","00000137","BAN GEROBAK ARTCO","","","","","155000","0","0","","65"
"","00000138","BANCI","","","","","NaN","0","0","",""
"","00000139","BASI SIKU 3/3 TBL","","","","","70000","0","0","","60"
"","00000140","BATA MERAH","","","","","700","0","25","","87825"
"","00000141","BATU HIJAU POLES","","","","","NaN","0","0","",""
"","00000142","BAUT 10","","","","","3500","0","0","","10"
"","00000143","BAUT 12","","","","","8000","0","12","","13"
"","00000144","BAUT 15","","","","","NaN","0","0","",""
"","00000145","BAUT 15 ","","","","","NaN","0","0","",""
"","00000146","BAUT 15","","","","","NaN","0","0","",""
"","00000147","BAUT 20","","","","","5500","0","3","","22"
"","00000148","BAUT 25","","","","","8500","0","2","","28"
"","00000149","BAUT 25 (KG AN)","","","","","NaN","0","0","",""
"","00000150","BAUT 30","","","","","NaN","0","0","",""
